Time,Rounding Mode,fp_X,fp_Y,fp_Z,fp_Z Expected,fp_Z 64 bits
165, 4, c2f77c8, cfefbc93, 9ca45214, 9ca45214, bb948a428e14fb00
315, 1, ad578f6d, f7eb8565, 65c650fb, 65c650fb, 44b8ca1f73c6e020
415, 1, 94ed8f56, ff800000, 7f800000, 7f800000, 44b8ca1f73c6e020
495, 0, 796919d, 4a72bc20, 128ec44c, 128ec44c, 3a51d889856ff400
525, 3, 1e2b04b0, f08e76c0, cf3e57dc, cf3e57dc, c1e7cafb83290000
715, 0, 107b8d2f, d1feee8c, a2fa807b, a2fa807b, bc5f500f6e9cf680
855, 2, d9153f1d, c7f13cb0, 618ca3cb, 618ca3cb, 443194797665fe00
1055, 2, af8d74ab, 3c806b44, ac8deb36, ac8deb36, bd91bd66b59d9b00
1115, 3, 885092a5, 9412bd80, 0, 0, bd91bd66b59d9b00
1165, 4, cf25bd1f, 71029c0f, ff800000, ff800000, bd91bd66b59d9b00
1285, 0, 51e520b8, f66c8dd9, ff800000, ff800000, bd91bd66b59d9b00
1455, 2, 32769e93, 6af227cc, 5de9483d, 5de9483d, 43bd2907b4984480
1515, 0, b4a22c90, 1a1a2a91, 8f43538c, 8f43538c, b9e86a7172b76400
1615, 2, 4e4c9e75, 7f800000, 7f800000, 7f800000, b9e86a7172b76400
1725, 2, 77f96999, bbfc55ea, f475d7a7, f475d7a7, c68ebaf4d4ca5b40
1815, 4, 554be566, 3e76288d, 54440ebc, 54440ebc, 428881d7852925c0
1945, 4, 1991c924, ed8c23e1, c79f9cdd, c79f9cdd, c0f3f39b946d2900
2055, 2, ff800000, 80000000, 7fc00000, 7fc00000, c0f3f39b946d2900
2185, 0, fc563fe5, b7e949ee, 74c33e07, 74c33e07, 469867c0da967cc0
2275, 1, 4805ca6d, ff800000, ff800000, ff800000, 469867c0da967cc0
2295, 0, f560dcb, d38015a3, a35631fa, a35631fa, bc6ac63f3b1bd040
2415, 4, 4336369c, 8cc741d4, 908dd34e, 908dd34e, ba11ba69c0daa600
2455, 3, aeb1be84, 6b2ca3c9, da6fbb71, da6fbb71, c34df76e23286900
2625, 1, fbd1a7be, fb92303c, 7f800000, 7f800000, c34df76e23286900
